Group,Color,Trypsin,Male,TimeClasped,MaleDiet,clasped,female,Plate
Algae_Untreated,WildRed,Untreated,A_1,0,Algae,n,0,P01
Algae_Untreated,WildRed,Untreated,A_2,30,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_3,5,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_4,5,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_5,20,Algae,y,Y,P01
Algae_Untreated,WildRed,Untreated,A_6,15,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_7,5,Algae,y,Y,P01
Algae_Untreated,WildRed,Untreated,A_8,15,Algae,y,Y,P01
Algae_Untreated,WildRed,Untreated,A_9,10,Algae,y,Y,P01
Algae_Untreated,WildRed,Untreated,A_10,15,Algae,y,Y,P01
Algae_Untreated,WildRed,Untreated,A_11,10,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_12,10,Algae,y,A,P01
Algae_Untreated,WildRed,Untreated,A_13,0,Algae,n,0,P02
Algae_Untreated,WildRed,Untreated,A_14,30,Algae,y,Y,P02
Algae_Untreated,WildRed,Untreated,A_15,5,Algae,y,Y,P02
Algae_Untreated,WildRed,Untreated,A_16,5,Algae,y,Y,P02
Algae_Untreated,WildRed,Untreated,A_17,5,Algae,y,A,P02
Algae_Untreated,WildRed,Untreated,A_18,0,Algae,n,0,P02
Algae_Untreated,WildRed,Untreated,Y_1,5,Yeast,y,Y,P03
Algae_Untreated,WildRed,Untreated,Y_2,5,Yeast,y,A,P03
Algae_Untreated,WildRed,Untreated,Y_3,5,Yeast,y,A,P03
Algae_Untreated,WildRed,Untreated,Y_4,0,Yeast,n,0,P03
Algae_Untreated,WildRed,Untreated,Y_5,0,Yeast,n,0,P03
Algae_Untreated,WildRed,Untreated,Y_6,15,Yeast,y,Y,P03
Algae_Untreated,WildRed,Untreated,Y_7,5,Yeast,y,Y,P03
Algae_Untreated,WildRed,Untreated,Y_8,25,Yeast,y,A,P03
Algae_Untreated,WildRed,Untreated,A_19,15,Algae,y,Y,P04
Algae_Untreated,WildRed,Untreated,A_20,5,Algae,y,A,P04
Algae_Untreated,WildRed,Untreated,A_21,10,Algae,y,A,P04
Algae_Untreated,WildRed,Untreated,A_22,120,Algae,y,Y,P04
Algae_Untreated,WildRed,Untreated,A_23,5,Algae,y,A,P04
Algae_Untreated,WildRed,Untreated,A_24,10,Algae,y,A,P04
Algae_Untreated,WildRed,Untreated,A_25,10,Algae,y,A,P05
Algae_Untreated,WildRed,Untreated,A_26,15,Algae,y,A,P05
Algae_Untreated,WildRed,Untreated,A_27,5,Algae,y,Y,P05
Algae_Untreated,WildRed,Untreated,A_28,5,Algae,y,Y,P05
Algae_Untreated,WildRed,Untreated,A_29,5,Algae,y,Y,P05
Algae_Untreated,WildRed,Untreated,A_30,5,Algae,y,A,P05
Algae_Untreated,WildRed,Untreated,A_31,5,Algae,y,Y,P05
Algae_Untreated,WildRed,Untreated,A_32,5,Algae,y,Y,P05
Algae_Untreated,WildRed,Untreated,Y_9,5,Yeast,y,A,P06
Algae_Untreated,WildRed,Untreated,Y_10,5,Yeast,y,A,P06
Algae_Untreated,WildRed,Untreated,Y_11,5,Yeast,y,A,P06
