Group,Female,Treatment,clasped,percent
Algae Untreated,White,Untreated,29,0.329545455
Algae Untreated,Red,Untreated,43,0.488636364
Algae Untreated,None,Untreated,16,0.181818182
Algae Trypsin,White,Trypsin,25,0.260416667
Algae Trypsin,Red,Trypsin,41,0.427083333
Algae Trypsin,None,Trypsin,30,0.3125
Zeaxanthin Untreated,White,Untreated,43,0.573333333
Zeaxanthin Untreated,Red,Untreated,16,0.213333333
Zeaxanthin Untreated,None,Untreated,16,0.213333333
Zeaxanthin Trypsin,White,Trypsin,39,0.513157895
Zeaxanthin Trypsin,Red,Trypsin,26,0.342105263
Zeaxanthin Trypsin,None,Trypsin,11,0.144736842
